i,u,c,r,y,d,t,table,class
?,?,17,?,?,?,?,3,0
1597396,?,17,?,?,?,?,2,0
1013077,?,?,?,?,?,?,2,0
1013077,?,?,?,?,8,?,5,0
418565,?,?,?,?,?,?,2,0
418565,?,?,?,1,?,?,6,0
567424,?,?,?,?,?,?,2,0
567424,?,?,?,1,?,?,6,0
1679904,?,?,?,?,?,?,2,0
1679904,?,?,?,2,?,?,6,0
716373,?,?,?,?,?,?,2,1
716373,?,?,?,?,9,?,5,1
215451,?,?,?,?,?,?,2,1
215451,?,?,?,?,9,?,5,1
35069,?,?,?,?,?,?,2,0
35069,?,?,?,?,0,?,5,0
1382108,?,?,?,?,?,?,2,1
1382108,?,?,?,?,0,?,5,1
1827403,?,?,?,?,?,?,2,0
1827403,?,?,?,?,8,?,5,0
1932358,?,?,?,?,?,?,2,0
1932358,?,?,?,?,9,?,5,0
670099,?,?,?,?,?,?,2,1
670099,?,?,?,8,?,?,6,1
715361,?,?,?,?,?,?,2,1
715361,?,?,?,1,?,?,6,1
?,?,?,35,?,?,?,4,0
?,2216857,?,35,?,?,?,1,0
130282,?,?,?,?,?,?,2,0
130282,?,?,?,?,9,?,5,0
1529316,?,?,?,?,?,?,2,1
1529316,?,?,?,?,3,?,5,1
1012714,?,?,?,?,?,?,2,1
1012714,?,?,?,?,2,?,5,1
13950,?,?,?,?,?,?,2,1
13950,?,?,?,9,?,?,6,1
1386978,?,?,?,?,?,?,2,1
1386978,?,?,?,3,?,?,6,1
84858,?,?,?,?,?,?,2,1
84858,?,?,?,3,?,?,6,1
1354897,?,?,?,?,?,?,2,0
1354897,?,?,?,3,?,?,6,0
955323,?,?,?,?,?,?,2,0
955323,?,?,?,3,?,?,6,0
739595,?,?,?,?,?,?,2,0
739595,?,?,?,?,6,?,5,0
1470383,?,?,?,?,?,?,2,0
1470383,?,?,?,?,5,?,5,0
505816,?,?,?,?,?,?,2,1
505816,?,?,?,1,?,?,6,1
1732721,?,?,?,?,?,?,2,1
1732721,?,?,?,?,2,?,5,1
1749395,?,?,?,?,?,?,2,1
1749395,?,?,?,?,1,?,5,1
?,?,?,26,?,?,?,4,1
?,1887851,?,26,?,?,?,1,1
?,?,19,?,?,?,?,3,0
1383547,?,19,?,?,?,?,2,0
531325,?,?,?,?,?,?,2,1
531325,?,?,?,7,?,?,6,1
539174,?,?,?,?,?,?,2,0
539174,?,?,?,?,3,?,5,0
4919,?,?,?,?,?,?,2,0
4919,?,?,?,3,?,?,6,0
548382,?,?,?,?,?,?,2,1
548382,?,?,?,?,5,?,5,1
338100,?,?,?,?,?,?,2,0
338100,?,?,?,8,?,?,6,0
954572,?,?,?,?,?,?,2,0
954572,?,?,?,9,?,?,6,0
?,1755020,?,?,?,?,?,1,1
?,2090789,?,?,?,?,?,1,1
?,1755020,?,?,?,?,8,7,1
344433,?,?,?,?,?,?,2,1
344433,?,?,?,?,7,?,5,1
1141472,?,?,?,?,?,?,2,1
1141472,?,?,?,1,?,?,6,1
1641528,?,?,?,?,?,?,2,0
1641528,?,?,?,?,4,?,5,0
704567,?,?,?,?,?,?,2,0
704567,?,?,?,4,?,?,6,0
205431,?,?,?,?,?,?,2,1
205431,?,?,?,?,5,?,5,1
1391703,?,?,?,?,?,?,2,0
1391703,?,?,?,4,?,?,6,0
1793794,?,?,?,?,?,?,2,1
1793794,?,?,?,?,7,?,5,1
1885609,?,?,?,?,?,?,2,1
1885609,?,?,?,3,?,?,6,1
626578,?,?,?,?,?,?,2,0
626578,?,?,?,?,9,?,5,0
1742642,?,?,?,?,?,?,2,0
1742642,?,?,?,0,?,?,6,0
41733,?,?,?,?,?,?,2,1
41733,?,?,?,6,?,?,6,1
1516156,?,?,?,?,?,?,2,0
1516156,?,?,?,8,?,?,6,0
1244001,?,?,?,?,?,?,2,1
1244001,?,?,?,8,?,?,6,1
1915210,?,?,?,?,?,?,2,1
1915210,?,?,?,?,2,?,5,1
1759903,?,?,?,?,?,?,2,0
1759903,?,?,?,9,?,?,6,0
605933,?,?,?,?,?,?,2,0
605933,?,?,?,?,6,?,5,0
1283300,?,?,?,?,?,?,2,1
1283300,?,?,?,?,2,?,5,1
912350,?,?,?,?,?,?,2,1
912350,?,?,?,?,7,?,5,1
751268,?,?,?,?,?,?,2,0
751268,?,?,?,?,9,?,5,0
889574,?,?,?,?,?,?,2,0
889574,?,?,?,?,0,?,5,0
?,3700490,?,?,?,?,?,1,1
?,627887,?,?,?,?,?,1,1
?,3700490,?,?,?,?,4,7,1
1003878,?,?,?,?,?,?,2,0
1003878,?,?,?,0,?,?,6,0
83697,?,?,?,?,?,?,2,1
83697,?,?,?,1,?,?,6,1
1082222,?,?,?,?,?,?,2,1
1082222,?,?,?,5,?,?,6,1
1888063,?,?,?,?,?,?,2,0
1888063,?,?,?,?,2,?,5,0
1258106,?,?,?,?,?,?,2,1
1258106,?,?,?,?,8,?,5,1
664089,?,?,?,?,?,?,2,1
664089,?,?,?,?,8,?,5,1
584931,?,?,?,?,?,?,2,1
584931,?,?,?,6,?,?,6,1
1820206,?,?,?,?,?,?,2,0
1820206,?,?,?,?,2,?,5,0
1406641,?,?,?,?,?,?,2,1
1406641,?,?,?,0,?,?,6,1
?,2151241,?,?,?,?,?,1,0
?,5482922,?,?,?,?,?,1,0
?,2151241,?,?,?,?,0,7,0
1928493,?,?,?,?,?,?,2,1
1928493,?,?,?,5,?,?,6,1
?,4753735,?,?,?,?,?,1,1
?,5716857,?,?,?,?,?,1,1
?,4753735,?,?,?,?,9,7,1
566421,?,?,?,?,?,?,2,1
566421,?,?,?,1,?,?,6,1
?,?,8,?,?,?,?,3,0
75908,?,8,?,?,?,?,2,0
443132,?,?,?,?,?,?,2,1
443132,?,?,?,?,0,?,5,1
18568,?,?,?,?,?,?,2,0
18568,?,?,?,4,?,?,6,0
808867,?,?,?,?,?,?,2,0
